id,main_category,category,sub_category,item_name,standard,unit,crew_composition_text,productivity_type,skill_worker_1_pum,skill_worker_1_count,skill_worker_2_pum,skill_worker_2_count,special_worker_pum,special_worker_count,common_worker_pum,common_worker_count,equipment_pum,equipment_count,pumsam_workload,molit_workload
19,공통가설,가설울타리,가설울타리판(EGI),2-4-3 가설울타리판 설치 및 해체,해체: 울타리판 높이 6.0m이하,m,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.12,1.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,280.0,0.0
6,공통가설,가설울타리,강관지주,2-4-1 강관 지주 설치 및 해체,설치: 강관지주 4m 이하(지주간격 2m),m,"비계공 3인, 보통인부 1인, 굴착기(0.2㎥) 0.5대 기준",장비 생산성,0.49,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.63,1.0,100.0,100.0
8,공통가설,가설울타리,강관지주,2-4-1 강관 지주 설치 및 해체,설치: 강관지주 7m 이하(지주간격 2m),m,"비계공 3인, 보통인부 1인, 굴착기(0.2㎥) 0.5대 기준",장비 생산성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0
7,공통가설,가설울타리,강관지주,2-4-1 강관 지주 설치 및 해체,해체: 강관지주 4m 이하(지주간격 2m),m,"비계공 3인, 보통인부 1인, 굴착기(0.2㎥) 0.5대 기준",장비 생산성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0
9,공통가설,가설울타리,강관지주,2-4-1 강관 지주 설치 및 해체,해체: 강관지주 7m 이하(지주간격 2m),m,"비계공 3인, 보통인부 1인, 굴착기(0.2㎥) 0.5대 기준",장비 생산성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0
32,공통가설,자동세륜기,,"2-11-6 자동세륜기 설치 및 해체('09, '12, '19년 보완)","설치: 8롤(2200*5150*1000), 구체포함",회,크레인(10ton) 1대 기준,장비 생산성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.0,3.07692307692308,0.0
33,공통가설,자동세륜기,,"2-11-6 자동세륜기 설치 및 해체('09, '12, '19년 보완)","해체: 8롤(2200*5150*1000), 구체포함",회,크레인(10ton) 1대 기준,장비 생산성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,1.0,2.42424242424242,0.0
299,금속공사,경량벽체틀,,"8-2-5 경량벽체철골틀 설치('22년 신설, '24년 보완)","경량철골(스터드), 폭 150mm 이하",㎡,"내장공 2인, 보통인부 1인",인력 생산성,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,65.0,65.0
307,금속공사,경량천장철골틀,,"8-2-4 경량천장철골틀 설치('02, '07, '16, '22, '24년 보완)","내진시스템, M-BAR (간건 300mm)",㎡,"내장공 2인, 보통인부 1인 기준",인력 생산성,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,0.0
302,금속공사,난간,앵커고정식 난간,"8-2-2 앵커고정식난간 설치('97년 신설, '07, '16, '24년 보완)",공장제작 난간,m,"철공 2인, 보통인부 1인 기준",인력 생산성,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,0.0
301,금속공사,난간,용접식 난간,"8-2-1 용접식난간 설치('17, '24년 보완)",규격철물 설치,ton,"용접공 2인, 철공 1인, 보통인부 1인 기준",인력 생산성,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.28,0.0
300,금속공사,난간,용접식 난간,"8-2-1 용접식난간 설치('17, '24년 보완)",현장제장 설치,ton,"용접공 2인, 철공 2인, 보통인부 1인 기준",인력 생산성,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22,0.0
305,금속공사,외벽 패널,패널설치,,벽,10㎡,"철공 3인, 보통인부 1인 기준",인력 생산성,0.0,0.0,0.39,1.0,0.0,0.0,0.24,1.0,0.0,0.0,65.0,0.0
306,금속공사,외벽 패널,패널설치,,"천장 ,지붕",10㎡,"철공 3인, 보통인부 1인 기준",인력 생산성,0.0,0.0,0.47,1.0,0.0,0.0,0.29,1.0,0.0,0.0,55.0,0.0
